Array Length,Execution Time Merge Sort,Execution Time Insertion Sort
1,458,517
2,4145,709
3,5701,924
4,8546,13466
5,11841,13851
6,16639,14354
7,21683,14987
8,27157,15979
9,34698,16930
10,40177,18123
11,46146,19444
12,52751,21054
13,57347,23038
14,60456,25601
15,64015,27936
16,67207,30563
17,68805,33613
18,70351,36211
19,72059,37134
20,73766,38134
21,75757,39288
22,78028,40461
23,79947,41717
24,82376,43114
25,84640,44556
26,87935,46102
27,90422,47809
28,93181,49558
29,95895,51456
30,98636,53819
31,101574,55886
32,104534,58114
33,107531,60414
34,110646,63119
35,113982,65707
36,117279,68403
37,120993,71243
38,124461,74198
39,128138,77263
40,131925,80501
41,135740,83922
42,139937,89910
43,144041,93574
44,148152,97393
45,152594,101371
46,157012,105529
47,161529,109817
48,166069,114261
49,170643,118895
50,175365,123669
51,180629,133072
52,187501,138280
53,194060,143573
54,199227,149092
55,204548,156510
56,209916,162460
57,217238,168555
58,223887,174796
59,229763,181231
60,235587,187884
61,247739,194777
62,259694,201827
63,265860,209170
64,357706,217542
65,364086,225180
66,370733,232999
67,380006,241073
68,386593,249339
69,393516,257820
70,400724,266534
71,408359,275280
72,415221,284166
73,423107,293323
74,430399,302981
75,437729,312892
76,445097,324453
77,452876,334843
78,462423,345678
79,470046,356568
80,478016,367724
81,486244,379114
82,494432,390747
83,502519,402662
84,510967,414825
85,519513,427320
86,528062,440302
87,537212,454079
88,543887,468019
89,551369,481369
90,558999,496162
91,565544,509868
92,572353,523914
93,579142,539526
94,586338,556752
95,593200,574782
96,600251,590052
97,607165,605615
98,615261,622272
99,622240,640479
100,630642,659748
101,638089,678762
102,645977,696567
103,653176,717734
104,660998,735603
105,668452,753542
106,676319,775495
107,685146,795383
108,693341,817040
109,701712,837739
110,710545,857445
111,719398,878678
112,729906,899707
113,738443,921396
114,748805,943078
115,758548,965087
116,767568,989461
117,776273,1012195
118,785289,1035619
119,794127,1059222
120,803862,1092322
121,813250,1122692
122,822527,1152467
123,832422,1182112
124,841989,1213849
125,851461,1248391
126,862420,1284581
127,871175,1326016
128,976018,1330909
129,985051,1334074
130,994681,1337237
131,1041674,1340693
132,1050907,1344124
133,1059732,1347446
134,1069849,1350784
135,1081795,1354185
136,1091270,1357631
137,1100407,1361108
138,1109914,1364649
139,1119378,1368217
140,1128584,1371867
141,1139829,1375587
142,1151119,1379340
143,1160939,1383160
144,1170610,1387038
145,1184600,1392100
146,1194728,1396111
147,1205612,1400167
148,1215905,1404306
149,1227281,1408500
150,1245168,1416735
151,1255597,1423053
152,1266445,1427449
153,1276982,1431888
154,1287183,1436401
155,1298145,1440960
156,1308983,1445616
157,1319892,1450289
158,1330709,1455428
159,1341516,1460230
160,1352176,1465085
161,1363495,1469992
162,1374605,1475013
163,1386249,1480064
164,1398413,1485175
165,1436509,1490339
166,1448093,1495507
167,1466184,1502955
168,1477579,1508243
169,1493280,1515626
170,1507984,1522058
171,1519702,1527563
172,1537621,1539614
173,1558005,1547269
174,1576912,1554917
175,1592563,1560769
176,1607776,1566597
177,1620227,1572476
178,1632978,1578440
179,1645963,1584511
180,1659142,1590642
181,1674200,1596852
182,1687082,1603083
183,1700065,1609338
184,1714565,1615713
185,1734171,1622236
186,1747987,1628823
187,1761613,1635473
188,1775071,1642137
189,1788926,1648829
190,1802483,1655594
191,1815989,1662438
192,1829340,1669319
193,1844499,1676676
194,1858504,1683742
195,1872667,1690937
196,1887390,1698115
197,1901839,1705384
198,1918128,1713824
199,1932648,1721287
200,1947201,1729269
201,1962510,1736808
202,1976394,1744234
203,1991424,1751845
204,2005771,1759400
205,2019623,1767020
206,2036385,1774774
207,2050800,1782775
208,2066346,1791741
209,2083867,1799807
210,2101932,1807769
211,2117964,1815786
212,2132758,1825866
213,2147205,1834045
214,2161667,1842274
215,2176194,1850614
216,2191398,1863063
217,2205972,1871508
218,2221700,1881049
219,2236443,1889642
220,2252314,1899675
221,2267410,1908505
222,2282420,1917374
223,2297450,1926318
224,2314770,1935516
225,2331255,1944685
226,2347876,1954179
227,2364416,1965464
228,2380812,1975132
229,2397141,1985647
230,2413078,1995127
231,2433576,2005032
232,2446987,2014707
233,2460713,2025518
234,2473105,2035305
235,2490817,2048444
236,2503230,2058356
237,2516166,2068373
238,2528752,2078484
239,2543229,2089698
240,2555875,2099945
241,2568816,2110244
242,2581714,2120661
243,2594666,2131558
244,2607531,2142101
245,2620559,2152787
246,2633379,2163558
247,2648557,2174731
248,2661515,2185608
249,2674890,2196594
250,2692641,2210780
251,2706043,2221954
252,2720855,2236270
253,2735726,2247828
254,2758919,2259956
255,2782480,2273405
256,2797365,2286185
257,2811179,2297984
258,2824866,2309794
259,2838420,2321709
260,2854186,2336944
261,2868169,2350079
262,2882124,2362241
263,2896175,2374889
264,2910122,2387193
265,2924366,2399601
266,2938509,2412144
267,2953005,2431716
268,2967163,2444454
269,2981576,2457230
270,2998271,2473938
271,3014983,2486930
272,3031585,2501106
273,3046512,2514798
274,3060895,2528672
275,3077271,2541691
276,3091577,2555237
277,3109485,2572906
278,3126430,2586568
279,3144531,2601334
280,3159642,2615179
281,3177917,2630146
282,3194129,2646530
283,3212090,2663022
284,3228269,2678447
285,3245792,2695195
286,3262202,2709498
287,3277448,2725445
288,3292779,2739549
289,3307973,2753774
290,3324832,2769585
291,3342532,2788798
292,3358347,2803764
293,3375309,2818846
294,3390719,2833930
295,3407569,2851795
296,3423415,2866752
297,3442864,2884404
298,3462338,2901254
299,3624715,2919973
300,3636979,2939516
301,3647846,2958169
302,3661489,2974199
303,3677818,2990319
304,3694047,3006873
305,3710125,3025187
306,3721247,3041561
307,3732417,3060518
308,3745763,3079246
309,3764984,3097968
310,3783873,3117159
311,3799904,3136154
312,3811238,3153090
313,3823775,3171541
314,3835374,3188742
315,3846860,3206135
316,3858701,3223567
317,3870565,3242637
318,3882513,3260829
319,3894436,3279585
320,3906701,3298074
321,3918744,3316783
322,3933114,3335707
323,3946090,3354102
324,3958834,3373372
325,3971010,3392098
326,3983034,3410624
327,3995252,3430926
328,4008768,3449687
329,4020757,3468570
330,4033128,3487564
331,4047455,3507126
332,4059447,3526322
333,4073667,3546415
334,4087674,3570997
335,4100648,3590049
336,4112816,3611222
337,4127698,3635049
338,4141395,3657919
339,4153804,3677904
340,4167415,3697959
341,4180110,3718098
342,4195196,3738475
343,4208824,3759043
344,4223025,3780126
345,4237351,3807519
346,4251064,3828323
347,4265287,3850275
348,4280043,3871366
349,4292874,3892537
350,4306579,3915235
351,4322839,3936998
352,4335797,3959524
353,4348877,3981612
354,4363089,4005508
355,4376142,4028789
356,4389141,4050753
357,4401905,4073335
358,4414593,4095244
359,4428488,4117530
360,4441698,4139924
361,4456584,4163451
362,4470053,4188130
363,4483255,4210876
364,4497102,4233754
365,4511872,4260099
366,4526769,4290905
367,4541084,4317581
368,4555020,4341055
369,4568490,4364568
370,4582910,4391213
371,4597749,4416616
372,4611443,4440498
373,4625316,4464953
374,4642263,4492405
375,4657196,4520742
376,4673521,4546563
377,4688782,4573387
378,4704515,4599063
379,4718297,4623839
380,4732663,4650136
381,4747763,4675135
382,4761834,4700282
383,4775978,4727871
384,4791679,4753539
385,4807247,4781295
386,4822060,4808037
387,4836865,4835083
388,4851211,4860970
389,4865767,4889061
390,4879998,4915527
391,4896787,4950117
392,4911982,4978994
393,4927305,5006705
394,4943103,5035220
395,4961222,5088377
396,4985946,5119269
397,5002077,5147139
398,5017907,5179780
399,5033304,5208851
400,5049263,5237659
401,5065363,5267686
402,5081125,5296779
403,5096291,5326179
404,5113223,5356714
405,5131320,5386921
406,5146911,5415195
407,5162206,5444698
408,5178047,5473300
409,5193566,5501998
410,5208823,5530803
411,5225892,5563570
412,5240926,5592678
413,5256373,5622248
414,5272850,5654549
415,5290716,5686752
416,5308440,5718774
417,5324298,5748841
418,5341946,5780526
419,5358478,5812701
420,5376387,5846717
421,5394263,5879499
422,5511870,5911461
423,5529231,5943443
424,5547032,5975269
425,5566593,6016585
426,5583935,6051141
427,5600271,6083357
428,5617004,6119569
429,5635055,6153029
430,5928595,6186787
431,5962852,6219879
432,5982452,6262161
433,6000662,6295254
434,6017527,6328550
435,6038497,6364365
436,6055216,6397918
437,6073051,6432101
438,6089804,6465993
439,6107232,6502381
440,6124409,6551836
441,6142292,6589139
442,6159763,6624202
443,6177228,6664202
444,6194827,6698932
445,6212398,6733894
446,6229786,6769506
447,6246971,6804840
448,6264922,6840374
449,6282379,6876186
450,6304680,6915459
451,6322315,6952337
452,6340324,6988628
453,6370233,7027122
454,6396300,7091479
455,6420418,7136700
456,6448603,7173504
457,6466717,7210365
458,6487990,7247379
459,6506393,7284997
460,6525233,7322330
461,6544001,7359778
462,6562199,7399851
463,6580441,7437631
464,6599067,7477666
465,6617100,7515874
466,6640421,7560433
467,6659078,7599990
468,6678071,7638699
469,6696992,7678231
470,6715577,7719049
471,6736079,7763058
472,6755137,7802372
473,6774553,7841809
474,6793381,7882052
475,6815405,7921665
476,6834223,7961529
477,6853836,8002074
478,6872366,8042416
479,6891631,8083502
480,6912087,8125259
481,6931102,8166888
482,6957792,8211594
483,6981241,8252816
484,7001436,8293839
485,7020742,8337405
486,7040729,8379137
487,7062253,8420688
488,7082126,8462520
489,7101274,8505465
490,7123224,8548977
491,7145451,8591509
492,7165975,8633579
493,7185123,8677471
494,7206356,8720438
495,7226250,8763629
496,7246275,8807494
497,7266498,8851624
498,7286935,8900301
499,7307390,8944025
500,7327917,8988560
501,7348174,9032748
